PLOT_NAME,CBH,LAI,TBA,MDBH,MLAI,OLAI,SDHT,SDSD,ULAI,GCvol,MSvol,MaxSD,MaxSH,MaxTH,MinSD,OSvol,SDSHT,USvol,LF_ASP,LF_CBD,LF_EVC,LF_EVT,MeanSA,MeanSD,MeanSH,MeanTH,TreesN,latlon,LF_EVEL,LF_SLPD,ShrubsN,LF_FDist,Basalarea,LF_FBFM13,LF_FBFM40,shrubArea,Unnamed: 0,scaledShrubArea
CASBC_0004_20240911_1,3.6,1.2,3.0,11.6,0.7,0.0,0.8,5.5,0.6,0.1,0.3,23.6,3.0,12.2,0,0.0,0.0,0.1,130,6,Tree Cover = 36%,California Lower Montane Foothill Pine Woodland and Savanna,7.7,8.4,3.0,11.2,4,"[34.69359376487778, -120.05426000326779]",391,8,33,No Disturbance,19.0,FBFM5,SH4,254.1,25%,1592.0
CASBC_0007_20241117_1,3.1,0.9,1.4,8.0,0.4,0.0,0.6,5.6,0.7,0.1,0.2,23.0,3.0,6.6,0,0.0,0.1,0.1,217,0,Shrub Cover = 36%,Northern and Central California Dry-Mesic Chaparral,6.9,7.8,3.0,5.9,3,"[34.69237252913373, -120.05296102438304]",414,7,29,No Disturbance,8.5,FBFM5,SH4,201.1,25%,1269.6
CASBC_0014_20241117_1,3.4,1.2,4.6,15.5,0.8,0.1,1.5,6.5,0.5,0.1,0.3,27.1,3.0,11.3,0,0.0,0.3,0.1,232,1,Tree Cover = 39%,California Coastal Live Oak Woodland and Savanna,6.9,10.1,2.9,9.7,3,"[34.6905413510512, -120.05364800408394]",371,10,30,No Disturbance,30.9,FBFM5,GS3,206.4,25%,1378.2
CASBC_0015_20240913_1,3.7,1.4,3.1,9.3,1.0,0.1,1.8,6.7,0.5,0.1,0.3,28.0,3.0,11.0,0,0.1,0.0,0.1,210,0,Developed-Upland Herbaceous,Western Warm Temperate Urban Herbaceous,6.1,10.6,3.0,8.4,4,"[34.69040768516956, -120.05259422021686]",378,9,35,No Disturbance,20.3,FBFM8,GR1,213.9,25%,1405.5
CASBC_0016_20240913_1,2.0,0.3,5.5,15.3,0.1,0,1.0,2.9,0.3,0.1,0.0,9.0,3.0,5.8,0,0,0.0,0.0,-1,0,Shrub Cover = 36%,Northern and Central California Dry-Mesic Chaparral,7.1,3.6,3.0,4.9,4,"[34.690402997284835, -120.05165590142178]",403,1,11,No Disturbance,43.3,FBFM5,SH4,77.9,25%,610.6
CASBC_0017_20240914_1,3.9,1.3,6.1,15.8,1.0,0.0,1.7,6.3,0.6,0.1,0.3,26.9,3.0,13.1,0,0.0,0.1,0.0,202,6,Tree Cover = 38%,Californian Ruderal Forest,5.7,10.2,3.0,11.2,3,"[34.68997163778061, -120.0531989683159]",369,8,30,No Disturbance,38.2,FBFM10,TU3,172.3,25%,1082.6
CASBC_0018_20240914_1,2.0,0.4,3.4,16.5,0.2,0,0.5,4.8,0.3,0.1,0.0,17.0,3.0,4.6,0,0,0.6,0.0,254,0,Shrub Cover = 46%,Northern and Central California Dry-Mesic Chaparral,5.9,5.1,2.6,4.3,2,"[34.6899905413603, -120.05211795387146]",387,21,11,No Disturbance,31.7,FBFM4,SH5,65.1,25%,600.3
CASBC_0019_20240914_1,2.8,1.0,3.6,12.2,0.6,0.0,2.1,6.7,0.6,0.1,0.2,26.5,3.0,9.4,0,0.0,0.4,0.1,262,5,Tree Cover = 38%,Californian Ruderal Forest,5.0,10.3,2.8,8.0,4,"[34.689526422899526, -120.05268004697417]",371,14,33,No Disturbance,27.5,FBFM10,TU3,166.4,25%,1282.8
CASBC_0020_20240914_1,2.5,0.9,4.1,11.5,0.6,0.0,1.2,5.0,0.4,0.1,0.2,23.5,3.0,10.8,0,0.0,0.3,0.1,196,0,Shrub Cover = 41%,Northern and Central California Dry-Mesic Chaparral,6.2,6.9,2.9,9.1,5,"[34.68908146999663, -120.05217203426518]",375,12,21,No Disturbance,32.8,FBFM4,SH5,129.8,25%,1035.7
CASBC_0021_20240912_1,1.9,0.9,1.2,8.9,0.3,0.0,1.5,7.2,0.7,0.1,0.0,26.1,3.0,6.2,0,0.0,0.2,0.1,208,0,Shrub Cover = 46%,Northern and Central California Dry-Mesic Chaparral,5.3,10.7,2.9,5.2,2,"[34.69033079516536, -120.05307301943469]",376,10,23,No Disturbance,9.1,FBFM4,SH5,122.8,25%,923.6
CASBC_0022_20240912_1,3.1,1.5,3.6,16.8,0.9,0.0,0.5,7.3,1.0,0.1,0.2,27.3,3.0,8.0,0,0.0,0.1,0.1,202,6,Tree Cover = 38%,Californian Ruderal Forest,4.5,11.4,3.0,7.6,2,"[34.69015067637173, -120.05307940849947]",369,8,33,No Disturbance,28.0,FBFM10,TU3,149.8,25%,1156.9
CASBC_0023_20240912_1,4.2,1.3,4.3,13.5,1.0,0.1,1.1,6.9,0.5,0.1,0.2,26.9,3.0,12.0,0,0.0,0.0,0.0,202,6,Tree Cover = 38%,Californian Ruderal Forest,4.9,10.9,3.0,10.3,4,"[34.68997055757172, -120.05308579750759]",369,8,28,No Disturbance,26.2,FBFM10,TU3,136.9,25%,843.3
